Venue Name,Venue Physical Address,Region,Country,Full Address,Latitude,Longitude
1841 BAR & RESTAURANT,"1 DISRAELI STREET
JOHNSONVILLE
WELLINGTON 6004",Wellington,New Zealand,"1841 BAR & RESTAURANT 1 DISRAELI STREET
JOHNSONVILLE
WELLINGTON 6004 Wellington New Zealand ",-41.2251799,174.8077074
TAB TRAX,"PLATFORM 1 WELLINGTON RAILWAY STATION BUNNY STREET
WELLINGTON CENTRAL
WELLINGTON 6011",Wellington,New Zealand,"TAB TRAX PLATFORM 1 WELLINGTON RAILWAY STATION BUNNY STREET
WELLINGTON CENTRAL
WELLINGTON 6011 Wellington New Zealand ",-41.2791887,174.7803636
TAB COURTENAY PLACE,"SHOP 2, 89 COURTENAY PLACE
WELLINGTON CENTRAL
WELLINGTON 6011
NEW ZEALAND",Wellington,New Zealand,"TAB COURTENAY PLACE SHOP 2, 89 COURTENAY PLACE
WELLINGTON CENTRAL
WELLINGTON 6011
NEW ZEALAND Wellington New Zealand ",-41.2930368,174.7794396
TAB Johnsonville,"28 Johnsonville Road
JOHNSONVILLE
WELLINGTON 6037
NEW ZEALAND",Wellington,New Zealand,"TAB Johnsonville 28 Johnsonville Road
JOHNSONVILLE
WELLINGTON 6037
NEW ZEALAND Wellington New Zealand ",-41.222919,174.8069651
TAWA RSA,"89 OXFORD STREET
TAWA SOUTH
WELLINGTON 6006",Wellington,New Zealand,"TAWA RSA 89 OXFORD STREET
TAWA SOUTH
WELLINGTON 6006 Wellington New Zealand ",-41.1652194,174.8279223
THE PICKLE JAR,"5 PARKVALE ROAD
KARORI
WELLINGTON 6005",Wellington,New Zealand,"THE PICKLE JAR 5 PARKVALE ROAD
KARORI
WELLINGTON 6005 Wellington New Zealand ",-41.2841912,174.737085
Zoo Bar,"227 RIDDIFORD STREET
NEWTOWN
WELLINGTON 6004",Wellington,New Zealand,"Zoo Bar 227 RIDDIFORD STREET
NEWTOWN
WELLINGTON 6004 Wellington New Zealand ",-41.3154536,174.780681
FOUR KINGS,"52 TARANAKI STREET
TE ARO
WELLINGTON 6001",Wellington,New Zealand,"FOUR KINGS 52 TARANAKI STREET
TE ARO
WELLINGTON 6001 Wellington New Zealand ",-41.292415,174.77842
TURBO BAR,"20-32 Rongotai Road
KILBIRNIE
WELLINGTON 6022
NEW ZEALAND",Wellington,New Zealand,"TURBO BAR 20-32 Rongotai Road
KILBIRNIE
WELLINGTON 6022
NEW ZEALAND Wellington New Zealand ",-41.3179565,174.7944378
CAMBRIDGE HOTEL,"28 CAMBRIDGE TERRACE
WELLINGTON CENTRAL
WELLINGTON 6011",Wellington,New Zealand,"CAMBRIDGE HOTEL 28 CAMBRIDGE TERRACE
WELLINGTON CENTRAL
WELLINGTON 6011 Wellington New Zealand ",-41.2950022,174.7828948
