name,outlet_type,address,city,region,latitude,longitude
Taipa Tavern,PubTAB Self Service Only,"Shop 1, Taipa Mall, State Highway 10, Taipa, New Zealand",Taipa,Northland,-34.996249,173.4666774
Punters Bar Tairua,PubTAB Self Service Only,"Shop 3, The Mall, Main Road, Tairua, New Zealand",Tairua,Waikato,-37.001992,175.8483498
The Blacksmith,PubTAB Self Service Only,"1/30 Walters Road, Takanini, New Zealand",Takanini,Auckland,-37.0488393,174.9326609
Forest Lodge Hotel,PubTAB Self Service Only,"Northumberland Street, Tapanui, New Zealand",Tapanui,Otago,-45.9434447,169.264313
Meeanee Hotel,PubTAB Self Service Only,"340 Meeanee Road, Taradale, New Zealand",Taradale,Hawke's Bay,-39.5434892,176.8917435
Taradale Club,PubTAB Full Service,"55 Wharerangi Road, Taradale, New Zealand",Taradale,Hawke's Bay,-39.5163963,176.8575884
Taumarunui Cosmopolitan Club,PubTAB Full Service,"Katarina & Miriama Streets, Taumarunui, New Zealand",Taumarunui,Manawatu-Wanganui,-38.8843962,175.2592249
Taupiri Tavern,PubTAB Self Service Only,"2 The Crescent, Taupiri, New Zealand",Taupiri,Waikato,-37.6140652,175.1899308
Taupo Branch,TAB Store,"36 Tuwharetoa Street, Taupo, New Zealand",Taupo,Waikato,-38.6887159,176.0708623
Taupo Cossie Club,PubTAB Full Service,"5 Taniwha Street, Taupo, New Zealand",Taupo,Waikato,-38.6858487,176.0744202
Taupo Lucky Lizard,PubTAB Self Service Only,"32 Richmond Avenue, Taupo, New Zealand",Taupo,Waikato,-38.7150157,176.0910045
The Matua,PubTAB Self Service Only,"Shop 6, Cnr Warrington Street, Matua, Tauranga, New Zealand",Tauranga,Bay of Plenty,-37.6660865,176.1252477
AJs Bar Maungatapu,PubTAB Self Service Only,"Shop G, 289 Maungatapu Road, Maungatapu, Tauranga, New Zealand",Tauranga,Bay of Plenty,-37.7163926,176.1791302
Bethlehem TAB,TAB Store,"245 State Highway 2, Bethlehem, Tauranga, New Zealand",Tauranga,Bay of Plenty,-37.6958721,176.10805
Greerton (New),TAB Store,"1333 Cameron Road, Gate Pa, Tauranga, New Zealand",Tauranga,Bay of Plenty,-37.7263347,176.1322482
Cruzaz Bar,PubTAB Self Service Only,"265 Otumoetai Road, Otumoetai, Tauranga, New Zealand",Tauranga,Bay of Plenty,-37.6813846,176.1364165
Te Puna Tavern,PubTAB Full Service,"15 Minden Road, R D 6, Tauranga, New Zealand",Tauranga,Bay of Plenty,-37.6960992,176.0735559
Judea Tavern,PubTAB Full Service,"35 Koromiko Street, Judea, Tauranga, New Zealand",Tauranga,Bay of Plenty,-37.6997876,176.1506245
Cameron Road (New),TAB Store,"501 Cameron Road, Tauranga, New Zealand",Tauranga,Bay of Plenty,-37.6971061,176.1596965
Tauranga Citizens Club,PubTAB Full Service,"170 13th Avenue, Tauranga, New Zealand",Tauranga,Bay of Plenty,-37.7008818,176.155907
City Sports Bar,PubTAB Full Service,"20 Hamilton Street, Tauranga, New Zealand",Tauranga,Bay of Plenty,-37.6824472,176.1690646
Welcome Bay Sports Bar,PubTAB Full Service,"250 Welcome Bay Road, Tauranga, New Zealand",Tauranga,Bay of Plenty,-37.7254569,176.1920037
Moose Bar,PubTAB Full Service,"Lakefront Drive, Te Anau, New Zealand",Te Anau,Southland,-45.4210412,167.7152763
Te Anau Club,ClubTAB Self Service Only,"Corner Of Pop Andrew Dr & Jackson Street, Te Anau, New Zealand",Te Anau,Southland,-45.4145389,167.7207886
Te Aroha Grand Tavern,PubTAB Full Service,"81 Whitaker Street, Te Aroha, New Zealand",Te Aroha,Waikato,-37.5453433,175.7141052
